,level,l1,l2,l3,l4,序号,条款,资料,审计程序,判断条件,结构,审计子程序
439,第二级安全测评要求,7.3 移动互联安全测评扩展要求,7.3.1 安全物理环境,7.2.5.2 供应链管理,7.2.5.2 测评单元(L2-PES3-01),L2-PES3-01,应为无线接入设备的安装选择合理位置，避免过度覆盖和电磁干扰，避免被非法破坏、替换；,无线接入设备；,1) 应核查物理位置与无线信号的覆盖范围是否合理；2) 应核查无线接入设备的安装位置是否能够避免被非法破坏、替换；3) 应测试验证无线信号是否可以避免电磁干扰；,若1)～3)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第二级安全测评要求/7.3 移动互联安全测评扩展要求/7.3.1 安全物理环境/7.2.5.2 供应链管理/7.2.5.2 测评单元(L2-PES3-01), 应核查无线接入设备的安装位置是否能够避免被非法破坏、替换
440,第二级安全测评要求,7.3 移动互联安全测评扩展要求,7.3.1 安全物理环境,7.2.5.2 供应链管理,7.2.5.2 测评单元(L2-PES3-01),L2-PES3-01,应为无线接入设备的安装选择合理位置，避免过度覆盖和电磁干扰，避免被非法破坏、替换；,无线接入设备；,1) 应核查物理位置与无线信号的覆盖范围是否合理；2) 应核查无线接入设备的安装位置是否能够避免被非法破坏、替换；3) 应测试验证无线信号是否可以避免电磁干扰；,若1)～3)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第二级安全测评要求/7.3 移动互联安全测评扩展要求/7.3.1 安全物理环境/7.2.5.2 供应链管理/7.2.5.2 测评单元(L2-PES3-01), 应测试验证无线信号是否可以避免电磁干扰；
441,第二级安全测评要求,7.3 移动互联安全测评扩展要求,7.3.2 安全区域边界,7.3.2.1 边界防护,7.3.2.1 测评单元(L2-ABS3-01),L2-ABS3-01,有线网络与无线网络边界之间的访问和数据流应通过无线接入网关设备；,无线接入网关设备；,应核查有线网络与无线网络边界之间是否部署无线接入网关设备；,若以上测评实施结论为是，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第二级安全测评要求/7.3 移动互联安全测评扩展要求/7.3.2 安全区域边界/7.3.2.1 边界防护/7.3.2.1 测评单元(L2-ABS3-01),应核查有线网络与无线网络边界之间是否部署无线接入网关设备；
442,第二级安全测评要求,7.3 移动互联安全测评扩展要求,7.3.2 安全区域边界,7.3.2.2 访问控制,7.3.2.2 测评单元(L2-ABS3-02),L2-ABS3-02,无线接入设备应开启接入认证功能，并且不应使用WEP方式进行认证，如使用口令，长度不小于8位字符；,无线接入设备；,应核查是否开启接入认证功能，是否使用除WEP方式以外的其他方式进行认证，密钥长度不小于8位；,若以上测评实施结论为是，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第二级安全测评要求/7.3 移动互联安全测评扩展要求/7.3.2 安全区域边界/7.3.2.2 访问控制/7.3.2.2 测评单元(L2-ABS3-02),应核查是否开启接入认证功能，是否使用除WEP方式以外的其他方式进行认证，密钥长度不小于8位；
443,第二级安全测评要求,7.3 移动互联安全测评扩展要求,7.3.2 安全区域边界,7.3.2.3 入侵防范,7.3.2.3 测评单元(L2-ABS3-03),L2-ABS3-03,应能够检测到非授权无线接入设备和非授权移动终端的接入行为；,终端准入控制系统、移动终端管理系统或相关组件；,应核查是否能够检测非授权无线接入设备和移动终端的接入行为；,若以上测评实施结论为是，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第二级安全测评要求/7.3 移动互联安全测评扩展要求/7.3.2 安全区域边界/7.3.2.3 入侵防范/7.3.2.3 测评单元(L2-ABS3-03),应核查是否能够检测非授权无线接入设备和移动终端的接入行为；
444,第二级安全测评要求,7.3 移动互联安全测评扩展要求,7.3.2 安全区域边界,7.3.2.3 入侵防范,7.3.2.3 测评单元(L2-ABS3-04),L2-ABS3-04,应能够检测到针对无线接入设备的网络扫描、DDoS攻击、密钥破解、中间人攻击和欺骗攻击等行为；,入侵保护系统或相关组件；,1) 应核查是否能够对网络扫描、DDoS击、密钥破解、中间人攻击和欺骗攻击等行为进行检测；2) 应核查规则库版本是否及时更新；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第二级安全测评要求/7.3 移动互联安全测评扩展要求/7.3.2 安全区域边界/7.3.2.3 入侵防范/7.3.2.3 测评单元(L2-ABS3-04), 应核查是否能够对网络扫描、DDoS击、密钥破解、中间人攻击和欺骗攻击等行为进行检测
445,第二级安全测评要求,7.3 移动互联安全测评扩展要求,7.3.2 安全区域边界,7.3.2.3 入侵防范,7.3.2.3 测评单元(L2-ABS3-04),L2-ABS3-04,应能够检测到针对无线接入设备的网络扫描、DDoS攻击、密钥破解、中间人攻击和欺骗攻击等行为；,入侵保护系统或相关组件；,1) 应核查是否能够对网络扫描、DDoS击、密钥破解、中间人攻击和欺骗攻击等行为进行检测；2) 应核查规则库版本是否及时更新；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第二级安全测评要求/7.3 移动互联安全测评扩展要求/7.3.2 安全区域边界/7.3.2.3 入侵防范/7.3.2.3 测评单元(L2-ABS3-04), 应核查规则库版本是否及时更新；
446,第二级安全测评要求,7.3 移动互联安全测评扩展要求,7.3.2 安全区域边界,7.3.2.3 入侵防范,7.3.2.3 测评单元(L2-ABS3-05),L2-ABS3-05,应能够检测到无线接入设备的SSID广播、WPS等高风险功能的开启状态；,无线接入设备或相关组件；,应核查是否能够检测无线接入设备的SSID广播、WPS等高风险功能的开启状态；,若以上测评实施结论为是，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第二级安全测评要求/7.3 移动互联安全测评扩展要求/7.3.2 安全区域边界/7.3.2.3 入侵防范/7.3.2.3 测评单元(L2-ABS3-05),应核查是否能够检测无线接入设备的SSID广播、WPS等高风险功能的开启状态；
447,第二级安全测评要求,7.3 移动互联安全测评扩展要求,7.3.2 安全区域边界,7.3.2.3 入侵防范,7.3.2.3 测评单元(L2-ABS3-06),L2-ABS3-06,应禁用无线接入设备和无线接入网关存在风险的功能，如：SSID广播、WEP认证等；,无线接入设备和无线接入网关设备；,应核查是否关闭了SSID广播、WEP认证等存在风险的功能；,若以上测评实施结论为是，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第二级安全测评要求/7.3 移动互联安全测评扩展要求/7.3.2 安全区域边界/7.3.2.3 入侵防范/7.3.2.3 测评单元(L2-ABS3-06),应核查是否关闭了SSID广播、WEP认证等存在风险的功能；
448,第二级安全测评要求,7.3 移动互联安全测评扩展要求,7.3.2 安全区域边界,7.3.2.3 入侵防范,7.3.2.3 测评单元(L2-ABS3-07),L2-ABS3-07,多个AP不应使用同一个认证密钥；,无线接入设备；,应核查是否分别使用了不同的鉴别密钥；,若以上测评实施结论为是，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第二级安全测评要求/7.3 移动互联安全测评扩展要求/7.3.2 安全区域边界/7.3.2.3 入侵防范/7.3.2.3 测评单元(L2-ABS3-07),应核查是否分别使用了不同的鉴别密钥；
449,第二级安全测评要求,7.3 移动互联安全测评扩展要求,7.3.3 安全计算环境,7.3.3.1 测评单元(L2-CES3-01),7.3.3.1 测评单元(L2-CES3-01),L2-CES3-01,应具有选择应用软件安装、运行的功能；,移动终端管理客户端；,应核查是否具有选择应用软件安装、运行的功能；,若以上测评实施结论为是，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第二级安全测评要求/7.3 移动互联安全测评扩展要求/7.3.3 安全计算环境/7.3.3.1 测评单元(L2-CES3-01)/7.3.3.1 测评单元(L2-CES3-01),应核查是否具有选择应用软件安装、运行的功能；
450,第二级安全测评要求,7.3 移动互联安全测评扩展要求,7.3.3 安全计算环境,7.3.3.2 测评单元(L2-CES3-02),7.3.3.2 测评单元(L2-CES3-02),L2-CES3-02,应只允许可靠证书签名的应用软件安装和运行；,移动终端管理客户端；,应核查全部移动应用是否由可靠证书签名；,若以上测评实施结论为是，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第二级安全测评要求/7.3 移动互联安全测评扩展要求/7.3.3 安全计算环境/7.3.3.2 测评单元(L2-CES3-02)/7.3.3.2 测评单元(L2-CES3-02),应核查全部移动应用是否由可靠证书签名；
451,第二级安全测评要求,7.3 移动互联安全测评扩展要求,7.3.4 安全建设管理,7.3.4.1 移动应用软件采购,7.3.4.1 测评单元(L2-CMS3-01),L2-CMS3-01,移动终端安装、运行的应用软件应来自可靠分发渠道或使用可靠证书签名；,移动终端；,应核查移动应用软件是否来自可靠分发渠道或使用可靠证书签名；,若以上测评实施结论为是，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第二级安全测评要求/7.3 移动互联安全测评扩展要求/7.3.4 安全建设管理/7.3.4.1 移动应用软件采购/7.3.4.1 测评单元(L2-CMS3-01),应核查移动应用软件是否来自可靠分发渠道或使用可靠证书签名；
452,第二级安全测评要求,7.3 移动互联安全测评扩展要求,7.3.4 安全建设管理,7.3.4.1 移动应用软件采购,7.3.4.1 测评单元(L2-CMS3-02),L2-CMS3-02,移动终端安装、运行的应用软件应由可靠的开发者开发；,移动终端；,应核查移动应用软件是否经由指定的开发者开发；,若以上测评实施结论为是，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第二级安全测评要求/7.3 移动互联安全测评扩展要求/7.3.4 安全建设管理/7.3.4.1 移动应用软件采购/7.3.4.1 测评单元(L2-CMS3-02),应核查移动应用软件是否经由指定的开发者开发；
453,第二级安全测评要求,7.3 移动互联安全测评扩展要求,7.3.4 安全建设管理,7.3.4.2 移动应用软件开发,7.3.4.2 测评单元(L2-CMS3-03),L2-CMS3-03,应对移动业务应用软件开发者进行资格审查；,系统建设负责人；,应访谈系统建设负责人，是否对开发者进行资格审查；,若以上测评实施结论为是，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第二级安全测评要求/7.3 移动互联安全测评扩展要求/7.3.4 安全建设管理/7.3.4.2 移动应用软件开发/7.3.4.2 测评单元(L2-CMS3-03),应访谈系统建设负责人，是否对开发者进行资格审查；
454,第二级安全测评要求,7.3 移动互联安全测评扩展要求,7.3.4 安全建设管理,7.3.4.2 移动应用软件开发,7.3.4.2 测评单元(L2-CMS3-04),L2-CMS3-04,开发移动业务应用软件的签名证书应使用合法的签名证书；,移动应用软件；,应核查开发移动业务应用软件的签名证书是否具有合法性；,若以上测评实施结论为是，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第二级安全测评要求/7.3 移动互联安全测评扩展要求/7.3.4 安全建设管理/7.3.4.2 移动应用软件开发/7.3.4.2 测评单元(L2-CMS3-04),应核查开发移动业务应用软件的签名证书是否具有合法性；
455,第二级安全测评要求,7.4 物联网安全测评扩展要求,7.4.1 安全物理环境,7.4.1.1 测评单元(L2-PES4-01),7.4.1.1 测评单元(L2-PES4-01),L2-PES4-01,感知节点设备所处的物理环境不应对感知节点设备造成物理破坏，如挤压、强振动；感知节点设备所处的物理环境应防止设备被非法拆除、破坏、替换；,感知节点设备所处物理环境和设计或验收文档；,1) 应核查感知节点设备所处物理环境的设计或验收文档，是否有感知节点设备所处物理环境具有防挤压、防强振动等能力的说明，是否与实际情况一致；是否具有非法拆除、破坏、替换等能力说明；2) 应核查感知节点设备所处物理环境是否采取了防挤压、防强振动等的防护措施；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第二级安全测评要求/7.4 物联网安全测评扩展要求/7.4.1 安全物理环境/7.4.1.1 测评单元(L2-PES4-01)/7.4.1.1 测评单元(L2-PES4-01), 应核查感知节点设备所处物理环境的设计或验收文档，是否有感知节点设备所处物理环境具有防挤压、防强振动等能力的说明，是否与实际情况一致；是否具有非法拆除、破坏、替换等能力说明
456,第二级安全测评要求,7.4 物联网安全测评扩展要求,7.4.1 安全物理环境,7.4.1.1 测评单元(L2-PES4-01),7.4.1.1 测评单元(L2-PES4-01),L2-PES4-01,感知节点设备所处的物理环境不应对感知节点设备造成物理破坏，如挤压、强振动；感知节点设备所处的物理环境应防止设备被非法拆除、破坏、替换；,感知节点设备所处物理环境和设计或验收文档；,1) 应核查感知节点设备所处物理环境的设计或验收文档，是否有感知节点设备所处物理环境具有防挤压、防强振动等能力的说明，是否与实际情况一致；是否具有非法拆除、破坏、替换等能力说明；2) 应核查感知节点设备所处物理环境是否采取了防挤压、防强振动等的防护措施；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第二级安全测评要求/7.4 物联网安全测评扩展要求/7.4.1 安全物理环境/7.4.1.1 测评单元(L2-PES4-01)/7.4.1.1 测评单元(L2-PES4-01), 应核查感知节点设备所处物理环境是否采取了防挤压、防强振动等的防护措施；
457,第二级安全测评要求,7.4 物联网安全测评扩展要求,7.4.1 安全物理环境,7.4.1.2 测评单元(L2-PES4-02),7.4.1.2 测评单元(L2-PES4-02),L2-PES4-02,感知节点设备在工作状态所处物理环境应能正确反映环境状态(如温湿度传感器不能安装在阳光直射区域)；,感知节点设备所处物理环境和设计或验收文档；,1) 应核查感知节点设备所处物理环境的设计或验收文档，是否有感知节点设备在工作状态所处物理环境的说明，是否与实际情况一致；2) 应核查感知节点设备在工作状态所处物理环境是否能正确反映环境状态(如温湿度传感器不能安装在阳光直射区域)；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第二级安全测评要求/7.4 物联网安全测评扩展要求/7.4.1 安全物理环境/7.4.1.2 测评单元(L2-PES4-02)/7.4.1.2 测评单元(L2-PES4-02), 应核查感知节点设备所处物理环境的设计或验收文档，是否有感知节点设备在工作状态所处物理环境的说明，是否与实际情况一致
458,第二级安全测评要求,7.4 物联网安全测评扩展要求,7.4.1 安全物理环境,7.4.1.2 测评单元(L2-PES4-02),7.4.1.2 测评单元(L2-PES4-02),L2-PES4-02,感知节点设备在工作状态所处物理环境应能正确反映环境状态(如温湿度传感器不能安装在阳光直射区域)；,感知节点设备所处物理环境和设计或验收文档；,1) 应核查感知节点设备所处物理环境的设计或验收文档，是否有感知节点设备在工作状态所处物理环境的说明，是否与实际情况一致；2) 应核查感知节点设备在工作状态所处物理环境是否能正确反映环境状态(如温湿度传感器不能安装在阳光直射区域)；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第二级安全测评要求/7.4 物联网安全测评扩展要求/7.4.1 安全物理环境/7.4.1.2 测评单元(L2-PES4-02)/7.4.1.2 测评单元(L2-PES4-02), 应核查感知节点设备在工作状态所处物理环境是否能正确反映环境状态(如温湿度传感器不能安装在阳光直射区域)；
459,第二级安全测评要求,7.4 物联网安全测评扩展要求,7.4.2 安全区域边界,7.4.2.1 接入控制,7.4.2.1 测评单元(L2-ABS4-01),L2-ABS4-01,接入的感知节点设备应有授权；,感知节点设备和设计文档；,应核查感知节点设备接入机制设计文档是否包括防止非法的感知节点设备接入网络的机制描述；,若以上测评实施结论为是，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第二级安全测评要求/7.4 物联网安全测评扩展要求/7.4.2 安全区域边界/7.4.2.1 接入控制/7.4.2.1 测评单元(L2-ABS4-01),应核查感知节点设备接入机制设计文档是否包括防止非法的感知节点设备接入网络的机制描述；
460,第二级安全测评要求,7.4 物联网安全测评扩展要求,7.4.2 安全区域边界,7.4.2.2 入侵防范,7.4.2.2 测评单元(L2-ABS4-02),L2-ABS4-02,应能够限制与感知节点通信的目标地址，以避免对陌生地址的攻击行为；,感知节点设备和设计文档；,1) 应核查感知层安全设计文档，是否有对感知节点通信目标地址的控制措施说明；2) 应核查感知节点设备，是否配置了对感知节点通信目标地址的控制措施，相关参数配置是否符合设计要求；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第二级安全测评要求/7.4 物联网安全测评扩展要求/7.4.2 安全区域边界/7.4.2.2 入侵防范/7.4.2.2 测评单元(L2-ABS4-02), 应核查感知层安全设计文档，是否有对感知节点通信目标地址的控制措施说明
461,第二级安全测评要求,7.4 物联网安全测评扩展要求,7.4.2 安全区域边界,7.4.2.2 入侵防范,7.4.2.2 测评单元(L2-ABS4-02),L2-ABS4-02,应能够限制与感知节点通信的目标地址，以避免对陌生地址的攻击行为；,感知节点设备和设计文档；,1) 应核查感知层安全设计文档，是否有对感知节点通信目标地址的控制措施说明；2) 应核查感知节点设备，是否配置了对感知节点通信目标地址的控制措施，相关参数配置是否符合设计要求；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第二级安全测评要求/7.4 物联网安全测评扩展要求/7.4.2 安全区域边界/7.4.2.2 入侵防范/7.4.2.2 测评单元(L2-ABS4-02), 应核查感知节点设备，是否配置了对感知节点通信目标地址的控制措施，相关参数配置是否符合设计要求；
462,第二级安全测评要求,7.4 物联网安全测评扩展要求,7.4.2 安全区域边界,7.4.2.2 入侵防范,7.4.2.2 测评单元(L2-ABS4-03),L2-ABS4-03,应能够限制与网关节点通信的目标地址，以避免对陌生地址的攻击行为；,网关节点设备和设计文档；,1) 应核查感知层安全设计文档，是否有对网关节点通信目标地址的控制措施说明；2) 应核查网关节点设备，是否配置了对网关节点通信目标地址的控制措施，相关参数配置是否符合设计要求；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第二级安全测评要求/7.4 物联网安全测评扩展要求/7.4.2 安全区域边界/7.4.2.2 入侵防范/7.4.2.2 测评单元(L2-ABS4-03), 应核查感知层安全设计文档，是否有对网关节点通信目标地址的控制措施说明
463,第二级安全测评要求,7.4 物联网安全测评扩展要求,7.4.2 安全区域边界,7.4.2.2 入侵防范,7.4.2.2 测评单元(L2-ABS4-03),L2-ABS4-03,应能够限制与网关节点通信的目标地址，以避免对陌生地址的攻击行为；,网关节点设备和设计文档；,1) 应核查感知层安全设计文档，是否有对网关节点通信目标地址的控制措施说明；2) 应核查网关节点设备，是否配置了对网关节点通信目标地址的控制措施，相关参数配置是否符合设计要求；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第二级安全测评要求/7.4 物联网安全测评扩展要求/7.4.2 安全区域边界/7.4.2.2 入侵防范/7.4.2.2 测评单元(L2-ABS4-03), 应核查网关节点设备，是否配置了对网关节点通信目标地址的控制措施，相关参数配置是否符合设计要求；
464,第二级安全测评要求,7.4 物联网安全测评扩展要求,7.4.3 安全运维管理,7.4.3.1 测评单元(L2-MMS4-01),7.4.3.1 测评单元(L2-MMS4-01),L2-MMS4-01,应指定人员定期巡视感知节点设备、网关节点设备的部署环境，对可能影响感知节点设备、网关节点设备正常工作的环境异常进行记录和维护；,维护记录；,1) 应访谈系统运维负责人是否有专门的人员对感知节点设备、网关节点设备进行定期维护，由何部门或何人负责，维护周期多长；2) 应核查感知节点设备、网关节点设备部署环境维护记录是否记录维护日期、维护人、维护设备、故障原因、维护结果等方面内容；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第二级安全测评要求/7.4 物联网安全测评扩展要求/7.4.3 安全运维管理/7.4.3.1 测评单元(L2-MMS4-01)/7.4.3.1 测评单元(L2-MMS4-01), 应访谈系统运维负责人是否有专门的人员对感知节点设备、网关节点设备进行定期维护，由何部门或何人负责，维护周期多长
465,第二级安全测评要求,7.4 物联网安全测评扩展要求,7.4.3 安全运维管理,7.4.3.1 测评单元(L2-MMS4-01),7.4.3.1 测评单元(L2-MMS4-01),L2-MMS4-01,应指定人员定期巡视感知节点设备、网关节点设备的部署环境，对可能影响感知节点设备、网关节点设备正常工作的环境异常进行记录和维护；,维护记录；,1) 应访谈系统运维负责人是否有专门的人员对感知节点设备、网关节点设备进行定期维护，由何部门或何人负责，维护周期多长；2) 应核查感知节点设备、网关节点设备部署环境维护记录是否记录维护日期、维护人、维护设备、故障原因、维护结果等方面内容；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第二级安全测评要求/7.4 物联网安全测评扩展要求/7.4.3 安全运维管理/7.4.3.1 测评单元(L2-MMS4-01)/7.4.3.1 测评单元(L2-MMS4-01), 应核查感知节点设备、网关节点设备部署环境维护记录是否记录维护日期、维护人、维护设备、故障原因、维护结果等方面内容；
466,第二级安全测评要求,7.4 物联网安全测评扩展要求,7.4.3 安全运维管理,7.4.3.2 测评单元(L2-MMS4-02),7.4.3.2 测评单元(L2-MMS4-02),L2-MMS4-02,应对感知节点设备、网关节点设备入库、存储、部署、携带、维修、丢失和报废等过程作出明确规定，并进行全程管理；,感知节点和网关节点设备安全管理文档；,应核查感知节点和网关节点设备安全管理文档是否覆盖感知节点设备、网关节点设备入库、存储、部署、携带、维修、丢失和报废等方面；,若以上测评实施结论为是，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第二级安全测评要求/7.4 物联网安全测评扩展要求/7.4.3 安全运维管理/7.4.3.2 测评单元(L2-MMS4-02)/7.4.3.2 测评单元(L2-MMS4-02),应核查感知节点和网关节点设备安全管理文档是否覆盖感知节点设备、网关节点设备入库、存储、部署、携带、维修、丢失和报废等方面；
467,第二级安全测评要求,7.5 工业控制系统安全测评扩展要求,7.5.1 安全物理环境,7.5.1.1 测评单元(L2-PES5-01),7.5.1.1 测评单元(L2-PES5-01),L2-PES5-01,室外控制设备应放置于采用铁板或其他防火材料制作的箱体或装置中并紧固；箱体或装置应具有透风、散热、防盗、防雨和防火能力等；,室外控制设备；,1) 应核查是否放置于采用铁板或其他防火材料制作的箱体或装置中并紧固；2) 应核查箱体或装置是否具有透风、散热、防盗、防雨和防火能力等；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第二级安全测评要求/7.5 工业控制系统安全测评扩展要求/7.5.1 安全物理环境/7.5.1.1 测评单元(L2-PES5-01)/7.5.1.1 测评单元(L2-PES5-01), 应核查是否放置于采用铁板或其他防火材料制作的箱体或装置中并紧固
468,第二级安全测评要求,7.5 工业控制系统安全测评扩展要求,7.5.1 安全物理环境,7.5.1.1 测评单元(L2-PES5-01),7.5.1.1 测评单元(L2-PES5-01),L2-PES5-01,室外控制设备应放置于采用铁板或其他防火材料制作的箱体或装置中并紧固；箱体或装置应具有透风、散热、防盗、防雨和防火能力等；,室外控制设备；,1) 应核查是否放置于采用铁板或其他防火材料制作的箱体或装置中并紧固；2) 应核查箱体或装置是否具有透风、散热、防盗、防雨和防火能力等；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第二级安全测评要求/7.5 工业控制系统安全测评扩展要求/7.5.1 安全物理环境/7.5.1.1 测评单元(L2-PES5-01)/7.5.1.1 测评单元(L2-PES5-01), 应核查箱体或装置是否具有透风、散热、防盗、防雨和防火能力等；
469,第二级安全测评要求,7.5 工业控制系统安全测评扩展要求,7.5.1 安全物理环境,7.5.1.2 测评单元(L2-PES5-02),7.5.1.2 测评单元(L2-PES5-02),L2-PES5-02,室外控制设备放置应远离强电磁干扰、强热源等环境，如无法避免应及时做好应急处置及检修，保证设备正常运行；,室外控制设备；,1) 应核查放置位置是否远离强电磁干扰和热源等环境；2) 应核查是否有应急处置及检修维护记录；,若1)或2)测评实施结论为是，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第二级安全测评要求/7.5 工业控制系统安全测评扩展要求/7.5.1 安全物理环境/7.5.1.2 测评单元(L2-PES5-02)/7.5.1.2 测评单元(L2-PES5-02), 应核查放置位置是否远离强电磁干扰和热源等环境
470,第二级安全测评要求,7.5 工业控制系统安全测评扩展要求,7.5.1 安全物理环境,7.5.1.2 测评单元(L2-PES5-02),7.5.1.2 测评单元(L2-PES5-02),L2-PES5-02,室外控制设备放置应远离强电磁干扰、强热源等环境，如无法避免应及时做好应急处置及检修，保证设备正常运行；,室外控制设备；,1) 应核查放置位置是否远离强电磁干扰和热源等环境；2) 应核查是否有应急处置及检修维护记录；,若1)或2)测评实施结论为是，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第二级安全测评要求/7.5 工业控制系统安全测评扩展要求/7.5.1 安全物理环境/7.5.1.2 测评单元(L2-PES5-02)/7.5.1.2 测评单元(L2-PES5-02), 应核查是否有应急处置及检修维护记录；
471,第二级安全测评要求,7.5 工业控制系统安全测评扩展要求,7.5.2 安全通信网络,7.5.2.1 网络架构,7.5.2.1 测评单元(L2-CNS5-01),L2-CNS5-01,工业控制系统与企业其他系统之间应划分为两个区域，区域间应采用技术隔离手段；,网闸、路由器、交换机和防火墙等提供访问控制功能的设备；,1) 应核查工业控制系统和企业其他系统之间是否部署单向隔离设备；2) 应核查是否采用了有效的单向隔离策略实施访问控制；3) 应核查使用无线通信的工业控制系统边界是否采用与企业其他系统隔离强度相同的措施；,若1)～3)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第二级安全测评要求/7.5 工业控制系统安全测评扩展要求/7.5.2 安全通信网络/7.5.2.1 网络架构/7.5.2.1 测评单元(L2-CNS5-01), 应核查工业控制系统和企业其他系统之间是否部署单向隔离设备
472,第二级安全测评要求,7.5 工业控制系统安全测评扩展要求,7.5.2 安全通信网络,7.5.2.1 网络架构,7.5.2.1 测评单元(L2-CNS5-01),L2-CNS5-01,工业控制系统与企业其他系统之间应划分为两个区域，区域间应采用技术隔离手段；,网闸、路由器、交换机和防火墙等提供访问控制功能的设备；,1) 应核查工业控制系统和企业其他系统之间是否部署单向隔离设备；2) 应核查是否采用了有效的单向隔离策略实施访问控制；3) 应核查使用无线通信的工业控制系统边界是否采用与企业其他系统隔离强度相同的措施；,若1)～3)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第二级安全测评要求/7.5 工业控制系统安全测评扩展要求/7.5.2 安全通信网络/7.5.2.1 网络架构/7.5.2.1 测评单元(L2-CNS5-01), 应核查是否采用了有效的单向隔离策略实施访问控制
473,第二级安全测评要求,7.5 工业控制系统安全测评扩展要求,7.5.2 安全通信网络,7.5.2.1 网络架构,7.5.2.1 测评单元(L2-CNS5-01),L2-CNS5-01,工业控制系统与企业其他系统之间应划分为两个区域，区域间应采用技术隔离手段；,网闸、路由器、交换机和防火墙等提供访问控制功能的设备；,1) 应核查工业控制系统和企业其他系统之间是否部署单向隔离设备；2) 应核查是否采用了有效的单向隔离策略实施访问控制；3) 应核查使用无线通信的工业控制系统边界是否采用与企业其他系统隔离强度相同的措施；,若1)～3)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第二级安全测评要求/7.5 工业控制系统安全测评扩展要求/7.5.2 安全通信网络/7.5.2.1 网络架构/7.5.2.1 测评单元(L2-CNS5-01), 应核查使用无线通信的工业控制系统边界是否采用与企业其他系统隔离强度相同的措施；
