,level,l1,l2,l3,序号,条款,资料,审计程序,判断条件,结构,审计子程序
321,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.1 岗位设置,L3-ORS1-03,应设立网络安全管理工作的职能部门，设立安全主管、安全管理各个方面的负责人岗位，并定义各负责人的职责。,信息/网络安全主管和管理制度类文档。,1) 应访谈信息/网络安全主管是否设立网络安全管理工作的职能部门。2) 应核查部门职责文档是否明确网络安全管理工作的职能部门和各负责人职责。3) 应核查岗位职责文档是否有岗位划分情况和岗位职责。,如果1）～3）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.1 岗位设置, 应访谈信息/网络安全主管是否设立网络安全管理工作的职能部门
322,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.1 岗位设置,L3-ORS1-03,应设立网络安全管理工作的职能部门，设立安全主管、安全管理各个方面的负责人岗位，并定义各负责人的职责。,信息/网络安全主管和管理制度类文档。,1) 应访谈信息/网络安全主管是否设立网络安全管理工作的职能部门。2) 应核查部门职责文档是否明确网络安全管理工作的职能部门和各负责人职责。3) 应核查岗位职责文档是否有岗位划分情况和岗位职责。,如果1）～3）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.1 岗位设置, 应核查部门职责文档是否明确网络安全管理工作的职能部门和各负责人职责
323,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.1 岗位设置,L3-ORS1-03,应设立网络安全管理工作的职能部门，设立安全主管、安全管理各个方面的负责人岗位，并定义各负责人的职责。,信息/网络安全主管和管理制度类文档。,1) 应访谈信息/网络安全主管是否设立网络安全管理工作的职能部门。2) 应核查部门职责文档是否明确网络安全管理工作的职能部门和各负责人职责。3) 应核查岗位职责文档是否有岗位划分情况和岗位职责。,如果1）～3）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.1 岗位设置, 应核查岗位职责文档是否有岗位划分情况和岗位职责。
324,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.1 岗位设置,L3-ORS1-04,应设立系统管理员、审计管理员和安全管理员等岗位，并定义部门及各个工作岗位的职责。,信息/网络安全主管和管理制度类文档。,1) 应访谈信息/网络安全主管是否进行了安全管理岗位的划分。2) 应核查岗位职责文档是否明确了各部门及各岗位职责。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.1 岗位设置, 应访谈信息/网络安全主管是否进行了安全管理岗位的划分
325,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.1 岗位设置,L3-ORS1-04,应设立系统管理员、审计管理员和安全管理员等岗位，并定义部门及各个工作岗位的职责。,信息/网络安全主管和管理制度类文档。,1) 应访谈信息/网络安全主管是否进行了安全管理岗位的划分。2) 应核查岗位职责文档是否明确了各部门及各岗位职责。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.1 岗位设置, 应核查岗位职责文档是否明确了各部门及各岗位职责。
326,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.1 岗位设置,L3-ORS1-05,应设立专门的网络安全审计岗位，负责网络安全审计制度和流程的实施，制订和执行网络安全审计计划，对网络安全整个生命周期和重大事件等进行审计。（F3）,信息/网络安全主管和管理制度类文档。,1) 应访谈信息/网络安全主管是否设立了专门的网络安全审计岗位。2) 应核查岗位职责文档是否明确了网络安全岗位的职责，包括负责网络安全审计制度和流程的实施，制订和执行网络安全审计计划，对网络安全整个生命周期和重大事件等进行审计。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.1 岗位设置, 应访谈信息/网络安全主管是否设立了专门的网络安全审计岗位
327,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.1 岗位设置,L3-ORS1-05,应设立专门的网络安全审计岗位，负责网络安全审计制度和流程的实施，制订和执行网络安全审计计划，对网络安全整个生命周期和重大事件等进行审计。（F3）,信息/网络安全主管和管理制度类文档。,1) 应访谈信息/网络安全主管是否设立了专门的网络安全审计岗位。2) 应核查岗位职责文档是否明确了网络安全岗位的职责，包括负责网络安全审计制度和流程的实施，制订和执行网络安全审计计划，对网络安全整个生命周期和重大事件等进行审计。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.1 岗位设置, 应核查岗位职责文档是否明确了网络安全岗位的职责，包括负责网络安全审计制度和流程的实施，制订和执行网络安全审计计划，对网络安全整个生命周期和重大事件等进行审计。
328,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.1 岗位设置,L3-ORS1-06,应坚持三分离原则，实现前后台分离、开发与操作分离、技术与业务分离，信息科技人员任职要专岗专责，不得由业务人员兼任，也不得兼任业务职务。（F3）,信息/网络安全主管和管理制度类文档。,1) 应访谈信息/网络安全主管是否实现前后台分离、开发与操作分离、技术与业务分离。2) 应核查岗位职责文档是否明确了信息科技人员任职要专岗专责，不得由业务人员兼任，也不得兼任业务职务。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.1 岗位设置, 应访谈信息/网络安全主管是否实现前后台分离、开发与操作分离、技术与业务分离
329,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.1 岗位设置,L3-ORS1-06,应坚持三分离原则，实现前后台分离、开发与操作分离、技术与业务分离，信息科技人员任职要专岗专责，不得由业务人员兼任，也不得兼任业务职务。（F3）,信息/网络安全主管和管理制度类文档。,1) 应访谈信息/网络安全主管是否实现前后台分离、开发与操作分离、技术与业务分离。2) 应核查岗位职责文档是否明确了信息科技人员任职要专岗专责，不得由业务人员兼任，也不得兼任业务职务。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.1 岗位设置, 应核查岗位职责文档是否明确了信息科技人员任职要专岗专责，不得由业务人员兼任，也不得兼任业务职务。
330,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.1 岗位设置,L3-ORS1-07,除网络安全管理部门外，其他部门均应指定至少一名网络安全员，协助网络安全管理部门开展本部门的网络安全管理工作。（F3）,信息/网络安全主管和管理制度类文档。,1) 应访谈信息/网络安全主管，网络安全管理部门外的其他部门是否指定至少一名部门网络安全员。2) 应核查岗位职责文档是否明确了部门网络安全员需协助网络安全管理部门开展本部门的网络安全管理工作。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.1 岗位设置, 应访谈信息/网络安全主管，网络安全管理部门外的其他部门是否指定至少一名部门网络安全员
331,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.1 岗位设置,L3-ORS1-07,除网络安全管理部门外，其他部门均应指定至少一名网络安全员，协助网络安全管理部门开展本部门的网络安全管理工作。（F3）,信息/网络安全主管和管理制度类文档。,1) 应访谈信息/网络安全主管，网络安全管理部门外的其他部门是否指定至少一名部门网络安全员。2) 应核查岗位职责文档是否明确了部门网络安全员需协助网络安全管理部门开展本部门的网络安全管理工作。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.1 岗位设置, 应核查岗位职责文档是否明确了部门网络安全员需协助网络安全管理部门开展本部门的网络安全管理工作。
332,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.2 人员配备,L3-ORS1-08,应配备一定数量的系统管理员、审计管理员和安全管理员等。,信息/网络安全主管和记录表单类文档。,1) 应访谈信息/网络安全主管是否配备了系统管理员、审计管理员和安全管理员。2) 应核查人员配备文档是否明确各岗位人员配备情况。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.2 人员配备, 应访谈信息/网络安全主管是否配备了系统管理员、审计管理员和安全管理员
333,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.2 人员配备,L3-ORS1-08,应配备一定数量的系统管理员、审计管理员和安全管理员等。,信息/网络安全主管和记录表单类文档。,1) 应访谈信息/网络安全主管是否配备了系统管理员、审计管理员和安全管理员。2) 应核查人员配备文档是否明确各岗位人员配备情况。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.2 人员配备, 应核查人员配备文档是否明确各岗位人员配备情况。
334,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.2 人员配备,L3-ORS1-09,应配备专职安全管理员，实行A、B岗制度，不可兼任。（F3）,信息/网络安全主管和记录表单类文档。,应核查人员配备文档是否明确配备了专职安全管理员且设置了A、B岗。,如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.2 人员配备,应核查人员配备文档是否明确配备了专职安全管理员且设置了A、B岗。
335,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.3 授权和审批,L3-ORS1-10,应根据各个部门和岗位的职责明确授权审批事项、审批部门和批准人等。,管理制度类文档和记录表单类文档。,1) 应核查部门职责文档是否明确各部门审批事项。2) 应核查岗位职责文档是否明确各岗位审批事项。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.3 授权和审批, 应核查部门职责文档是否明确各部门审批事项
336,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.3 授权和审批,L3-ORS1-10,应根据各个部门和岗位的职责明确授权审批事项、审批部门和批准人等。,管理制度类文档和记录表单类文档。,1) 应核查部门职责文档是否明确各部门审批事项。2) 应核查岗位职责文档是否明确各岗位审批事项。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.3 授权和审批, 应核查岗位职责文档是否明确各岗位审批事项。
337,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.3 授权和审批,L3-ORS1-11,应针对系统投入运行、重要资源（如敏感数据等资源）的访问、系统变更、重要操作、物理访问和系统接入等事项建立审批程序，按照审批程序执行审批过程，对重要活动建立逐级审批制度。（F3）,管理制度类文档和记录表单类文档。,1) 应核查系统投入运行、重要资源（如敏感数据等资源）的访问、系统变更、重要操作、物理访问和系统接入等事项的操作规范是否明确建立了逐级审批程序。2) 应核查审批记录操作记录，审批结果是否与相关制度一致。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.3 授权和审批, 应核查系统投入运行、重要资源（如敏感数据等资源）的访问、系统变更、重要操作、物理访问和系统接入等事项的操作规范是否明确建立了逐级审批程序
338,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.3 授权和审批,L3-ORS1-11,应针对系统投入运行、重要资源（如敏感数据等资源）的访问、系统变更、重要操作、物理访问和系统接入等事项建立审批程序，按照审批程序执行审批过程，对重要活动建立逐级审批制度。（F3）,管理制度类文档和记录表单类文档。,1) 应核查系统投入运行、重要资源（如敏感数据等资源）的访问、系统变更、重要操作、物理访问和系统接入等事项的操作规范是否明确建立了逐级审批程序。2) 应核查审批记录操作记录，审批结果是否与相关制度一致。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.3 授权和审批, 应核查审批记录操作记录，审批结果是否与相关制度一致。
339,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.3 授权和审批,L3-ORS1-12,应定期审查审批事项，及时更新需授权和审批的项目、审批部门和审批人等信息。,管理制度类文档和记录表单类文档。,1) 应访谈信息/网络安全主管是否具有授权和审批的项目、审批部门和审批人等信息的更新记录。2) 应核查是否具有定期审查审批事项的记录。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.3 授权和审批, 应访谈信息/网络安全主管是否具有授权和审批的项目、审批部门和审批人等信息的更新记录
340,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.3 授权和审批,L3-ORS1-12,应定期审查审批事项，及时更新需授权和审批的项目、审批部门和审批人等信息。,管理制度类文档和记录表单类文档。,1) 应访谈信息/网络安全主管是否具有授权和审批的项目、审批部门和审批人等信息的更新记录。2) 应核查是否具有定期审查审批事项的记录。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.3 授权和审批, 应核查是否具有定期审查审批事项的记录。
341,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.3 授权和审批,L3-ORS1-13,用户应被授予完成所承担任务所需的最小权限，重要岗位的员工之间应形成相互制约的关系，权限变更应执行相关审批流程，并有完整的变更记录。（F3）,信息/网络安全主管和记录表单类文档。,1) 应访谈信息/网络安全主管是否根据最小权限原则对用户授权，重要岗位的员工之间是否形成相互制约的关系。2) 应核查是否具有权限变更的相关审批流程和完整的变更记录。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.3 授权和审批, 应访谈信息/网络安全主管是否根据最小权限原则对用户授权，重要岗位的员工之间是否形成相互制约的关系
342,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.3 授权和审批,L3-ORS1-13,用户应被授予完成所承担任务所需的最小权限，重要岗位的员工之间应形成相互制约的关系，权限变更应执行相关审批流程，并有完整的变更记录。（F3）,信息/网络安全主管和记录表单类文档。,1) 应访谈信息/网络安全主管是否根据最小权限原则对用户授权，重要岗位的员工之间是否形成相互制约的关系。2) 应核查是否具有权限变更的相关审批流程和完整的变更记录。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.3 授权和审批, 应核查是否具有权限变更的相关审批流程和完整的变更记录。
343,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.4 沟通和合作,L3-ORS1-14,应加强各类管理人员、组织内部机构和网络安全管理部门之间的合作与沟通，定期召开协调会议，共同协作处理网络安全问题。,信息/网络安全主管和记录表单类文档。,1) 应访谈信息/网络安全主管是否建立了各类管理人员、组织内部机构和网络安全管理部门之间的合作与沟通机制。2) 应核查会议记录是否明确在各类管理人员、组织内部机构和网络安全管理部门之间开展了合作与沟通。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.4 沟通和合作, 应访谈信息/网络安全主管是否建立了各类管理人员、组织内部机构和网络安全管理部门之间的合作与沟通机制
344,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.4 沟通和合作,L3-ORS1-14,应加强各类管理人员、组织内部机构和网络安全管理部门之间的合作与沟通，定期召开协调会议，共同协作处理网络安全问题。,信息/网络安全主管和记录表单类文档。,1) 应访谈信息/网络安全主管是否建立了各类管理人员、组织内部机构和网络安全管理部门之间的合作与沟通机制。2) 应核查会议记录是否明确在各类管理人员、组织内部机构和网络安全管理部门之间开展了合作与沟通。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.4 沟通和合作, 应核查会议记录是否明确在各类管理人员、组织内部机构和网络安全管理部门之间开展了合作与沟通。
345,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.4 沟通和合作,L3-ORS1-15,应加强与网络安全职能部门、各类供应商、业界专家及安全组织的合作与沟通。,信息/网络安全主管和记录表单类文档。,1) 应访谈信息/网络安全主管是否建立了与网络安全职能部门、各类供应商、业界专家及安全组织的合作与沟通机制。2) 应核查会议记录是否明确了与网络安全职能部门、各类供应商、业界专家及安全组织开展了合作与沟通。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.4 沟通和合作, 应访谈信息/网络安全主管是否建立了与网络安全职能部门、各类供应商、业界专家及安全组织的合作与沟通机制
346,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.4 沟通和合作,L3-ORS1-15,应加强与网络安全职能部门、各类供应商、业界专家及安全组织的合作与沟通。,信息/网络安全主管和记录表单类文档。,1) 应访谈信息/网络安全主管是否建立了与网络安全职能部门、各类供应商、业界专家及安全组织的合作与沟通机制。2) 应核查会议记录是否明确了与网络安全职能部门、各类供应商、业界专家及安全组织开展了合作与沟通。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.4 沟通和合作, 应核查会议记录是否明确了与网络安全职能部门、各类供应商、业界专家及安全组织开展了合作与沟通。
347,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.4 沟通和合作,L3-ORS1-16,应建立外联单位联系列表，包括外联单位名称、合作内容、联系人和联系方式等信息。,记录表单类文档。,应核查外联单位联系列表是否记录了外联单位名称、合作内容、联系人和联系方式等信息。,如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.4 沟通和合作,应核查外联单位联系列表是否记录了外联单位名称、合作内容、联系人和联系方式等信息。
348,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.5 审核和检查,L3-ORS1-17,应定期进行常规安全检查，检查内容包括系统日常运行、系统漏洞和数据备份等情况。,信息/网络安全主管和记录表单类文档。,1) 应访谈信息/网络安全主管是否定期进行了常规安全检查。2) 应核查常规安全检查记录是否包括了系统日常运行、系统漏洞和数据备份等情况。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.5 审核和检查, 应访谈信息/网络安全主管是否定期进行了常规安全检查
349,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.5 审核和检查,L3-ORS1-17,应定期进行常规安全检查，检查内容包括系统日常运行、系统漏洞和数据备份等情况。,信息/网络安全主管和记录表单类文档。,1) 应访谈信息/网络安全主管是否定期进行了常规安全检查。2) 应核查常规安全检查记录是否包括了系统日常运行、系统漏洞和数据备份等情况。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.5 审核和检查, 应核查常规安全检查记录是否包括了系统日常运行、系统漏洞和数据备份等情况。
350,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.5 审核和检查,L3-ORS1-18,应定期进行全面安全检查，检查内容包括现有安全技术措施的有效性、安全配置与安全策略的一致性、安全管理制度的执行情况等。,信息/网络安全主管和记录表单类文档。,1) 应访谈信息/网络安全主管是否定期进行了全面安全检查。2) 应核查全面安全检查记录是否包括了现有安全技术措施的有效性、安全配置与安全策略的一致性、安全管理制度的执行情况等。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.5 审核和检查, 应访谈信息/网络安全主管是否定期进行了全面安全检查
351,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.5 审核和检查,L3-ORS1-18,应定期进行全面安全检查，检查内容包括现有安全技术措施的有效性、安全配置与安全策略的一致性、安全管理制度的执行情况等。,信息/网络安全主管和记录表单类文档。,1) 应访谈信息/网络安全主管是否定期进行了全面安全检查。2) 应核查全面安全检查记录是否包括了现有安全技术措施的有效性、安全配置与安全策略的一致性、安全管理制度的执行情况等。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.5 审核和检查, 应核查全面安全检查记录是否包括了现有安全技术措施的有效性、安全配置与安全策略的一致性、安全管理制度的执行情况等。
352,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.5 审核和检查,L3-ORS1-19,应建立对门户网站内容发布的审核、管理和监控机制。（F3）,信息/网络安全主管和记录表单类文档。,1) 应访谈信息/网络安全主管是否建立了门户网站内容发布的审核、管理和监控机制。2) 应核查是否具有门户网站内容发布的审核记录。,如果以上测评实施内容肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.5 审核和检查, 应访谈信息/网络安全主管是否建立了门户网站内容发布的审核、管理和监控机制
353,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.5 审核和检查,L3-ORS1-19,应建立对门户网站内容发布的审核、管理和监控机制。（F3）,信息/网络安全主管和记录表单类文档。,1) 应访谈信息/网络安全主管是否建立了门户网站内容发布的审核、管理和监控机制。2) 应核查是否具有门户网站内容发布的审核记录。,如果以上测评实施内容肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.5 审核和检查, 应核查是否具有门户网站内容发布的审核记录。
354,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.5 审核和检查,L3-ORS1-20,应制定安全检查表格实施安全检查，汇总安全检查数据，形成安全检查报告，要求限期整改的需要对相关整改情况进行后续跟踪，并将每次安全检查报告和整改落实情况整理汇总后，对安全检查结果进行通报并报上一级机构科技部门备案。（F3）,记录表单类文档。,1) 应核查是否具有安全检查表格、安全检查记录、安全检查报告、安全检查结果通报记录和报上一级机构科技部门备案的记录。2) 对于安全检查后要求限期整改的，应核查是否具有整改落实情况相关记录文档。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.5 审核和检查, 应核查是否具有安全检查表格、安全检查记录、安全检查报告、安全检查结果通报记录和报上一级机构科技部门备案的记录
355,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.5 审核和检查,L3-ORS1-20,应制定安全检查表格实施安全检查，汇总安全检查数据，形成安全检查报告，要求限期整改的需要对相关整改情况进行后续跟踪，并将每次安全检查报告和整改落实情况整理汇总后，对安全检查结果进行通报并报上一级机构科技部门备案。（F3）,记录表单类文档。,1) 应核查是否具有安全检查表格、安全检查记录、安全检查报告、安全检查结果通报记录和报上一级机构科技部门备案的记录。2) 对于安全检查后要求限期整改的，应核查是否具有整改落实情况相关记录文档。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.5 审核和检查, 对于安全检查后要求限期整改的，应核查是否具有整改落实情况相关记录文档。
356,第三级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.5 审核和检查,L3-ORS1-21,应制定违反和拒不执行安全管理措施规定的处罚细则。（F3）,管理制度类文档。,应核查是否具有违反和拒不执行安全管理措施规定的处罚细则。,如果以上测评实施内容肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.7 安全管理机构/7.1.7.5 审核和检查,应核查是否具有违反和拒不执行安全管理措施规定的处罚细则。
357,第三级测评要求,7.1 安全测评通用要求,7.1.8 安全管理人员,7.1.8.1 人员录用,L3-HRS1-01,应指定或授权专门的部门或人员负责人员录用。,信息/网络安全主管。,应访谈信息/网络安全主管是否由专门的部门或人员负责人员的录用工作。,如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.8 安全管理人员/7.1.8.1 人员录用,应访谈信息/网络安全主管是否由专门的部门或人员负责人员的录用工作。
358,第三级测评要求,7.1 安全测评通用要求,7.1.8 安全管理人员,7.1.8.1 人员录用,L3-HRS1-02,应对被录用人员的身份、安全背景、专业资格或资质等进行审查，对其所具有的技术技能进行考核。,管理制度类文档和记录表单类文档。,1) 应核查人员安全管理文档是否说明录用人员应具备的条件（如学历、学位要求，技术人员应具备的专业技术水平，管理人员应具备的安全管理知识等）。2) 应核查是否具有人员录用时对录用人身份、安全背景、专业资格或资质等进行审查的相关文档或记录，是否记录审查内容和审查结果等。3) 应核查人员录用时的技能考核文档或记录是否记录考核内容和考核结果等。,如果1）～3）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.8 安全管理人员/7.1.8.1 人员录用, 应核查人员安全管理文档是否说明录用人员应具备的条件（如学历、学位要求，技术人员应具备的专业技术水平，管理人员应具备的安全管理知识等）
359,第三级测评要求,7.1 安全测评通用要求,7.1.8 安全管理人员,7.1.8.1 人员录用,L3-HRS1-02,应对被录用人员的身份、安全背景、专业资格或资质等进行审查，对其所具有的技术技能进行考核。,管理制度类文档和记录表单类文档。,1) 应核查人员安全管理文档是否说明录用人员应具备的条件（如学历、学位要求，技术人员应具备的专业技术水平，管理人员应具备的安全管理知识等）。2) 应核查是否具有人员录用时对录用人身份、安全背景、专业资格或资质等进行审查的相关文档或记录，是否记录审查内容和审查结果等。3) 应核查人员录用时的技能考核文档或记录是否记录考核内容和考核结果等。,如果1）～3）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.8 安全管理人员/7.1.8.1 人员录用, 应核查是否具有人员录用时对录用人身份、安全背景、专业资格或资质等进行审查的相关文档或记录，是否记录审查内容和审查结果等
